verb1,verb2,vp1,vp2,subj,prn,name1,name2
was,did,was pulled over for drunk driving,used to get high grades in high school,The colleague,she,Richard,Luke
was,did,was looking forward to going on a camping trip,opened a new bank account today,The accountant,he,Andrew,Hope
was,did,was isolated from society for a long time,came back home late at night yesterday,The contactor,he,Rachel,Amber
was,did,was pulled over for drunk driving,used to dream to become a translator,The detective,she,Michaela,Nicholas
was,did,was disturbed by speeding cars outside,worked with the choreographer,The detective,she,Kaitlyn,Victor
was,did,was born in 1992,watered the flowers in the garden,The dentist,he,Kenneth,Nathaniel
was,did,was excited about the good news,hid behind the trees,The reporter,she,Sophie,Amber
was,did,was born in 1992,had a bad dream,The violinist,she,Dominic,Anna
was,did,was nervous about the upcoming debate,forgot to do the laundry,The teacher,he,Katelyn,Katie
was,did,was trying to fix the broken window,seemed very eager to return home,The tenant,she,Alondra,Alexa
was,does,was nervous about the stressful situation,has two sisters,The optician,she,Evelyn,Malik
was,does,was listening to the radio,frequently gives extreme opinions without backing them up,The analyst,he,Christopher,Margaret
was,does,was on a diet,has two sisters,The receptionist,he,Isaiah,Ana
was,does,was happy about the cross-country road trip,likes bungee jumping,The overseer,she,Hector,Luis
was,does,was nervous about the stressful situation,finds humor in the worst situations,The swimmer,she,Leslie,Jorge
was,does,was talking to the tall nurse,always greets kindly,The customer,she,Kenneth,Micah
was,does,was upset about the cleanliness of City Hall,has lots of interest in French cuisine,The violinist,she,Aidan,Dawson
was,does,was disappointed with the weather,occasionally takes a nap after lunch,The farmer,he,Jillian,Madeline
was,does,was wearing thick clothes,loves reading Russian books,The waitress,she,Riley,Marissa
was,does,was upset about the cleanliness of City Hall,laughs very loudly,The psychologist,she,Jason,Riley
was,has,was on a diet,has undergone chemotherapy,The customer,she,Kara,Elijah
was,has,was nervous about the stressful situation,has been chosen to audition for the All Stars game,The lawyer,she,Cristian,Cody
was,has,was angry,has worked in the industry for more than 10 years,The surgeon,he,Cody,Chloe
was,has,was listening to the radio,has been neighbors with the mayor,The manager,he,Chandler,Juan
was,has,was excited about the good news,has been collecting fridge magnets for five years,The teacher,he,Jeremiah,Ian
was,has,was singing a song,has been working out for two hours,The swimmer,she,Diamond,Marcus
was,has,was born in Ecuador,has been participating in marathons since last year,The housekeeper,he,Zoe,Brooklyn
was,has,was famous in Italy,has been around for a while,The counselor,he,Alexander,Catherine
was,has,was upset about the cleanliness of City Hall,has been a fan of Rihanna since her debut,The analyst,he,Ava,Alexandria
was,has,was disappointed with the weather,has been staying in Hawaii for two months,The linguist,she,Grace,Nicolas
was,is,was nervous about the upcoming debate,is learning Spanish,The swimmer,she,Carter,Garrett
was,is,was happy to be outside in the sunny weather,is a big fan of Harry Potter,The drummer,she,Veronica,Aaron
was,is,was disappointed with the weather,is extremely fickle and demanding,The shop owner,he,Amaya,Kenneth
was,is,was unhappy about all the noise on the streets,is planning a honeymoon,The customer,she,Aaron,Javier
was,is,was born in Ecuador,is reading a newly released sci-fi book,The columnist,he,Sean,Eduardo
was,is,was wearing thick clothes,is always trustworthy,The linguist,she,Lydia,Kayla
was,is,was on a diet,is not good at riding a bike,The researcher,he,Kendall,Samantha
was,is,was famous in Italy,is reading a newly released sci-fi book,The player,she,Alicia,Mario
was,is,was sitting on a rocking chair,is an avid foodie,The designer,she,Dalton,Carly
was,is,was mentioned in the newspaper,is extremely fickle and demanding,The bartender,he,Omar,Avery
was,would,was on a diet,would drive to the nearest library when the weather is bad,The attendant,he,Mckenzie,Isaiah
was,would,was angry,would have oatmeal for breakfast,The nurse,he,Wesley,Conner
was,would,was disappointed with the weather,would swim in the Lake on Monday mornings,The administrator,he,Madelyn,Victor
was,would,was surprised about the exciting news,would buy lottery tickets on the weekends,The designer,she,Oscar,Jada
was,would,was scared about the loud noises coming from a nearby building,would drive to the nearest library when the weather is bad,The cheerleader,she,Sofia,Bethany
was,would,was sitting on a rocking chair,would always be late for meetings,The actress,she,Makayla,Michaela
was,would,was unhappy about all the noise on the streets,would make pasta for dinner,The hairdresser,he,Diamond,Alejandra
was,would,was looking forward to going on a camping trip,would wear glasses in the day time,The chef,he,Zachary,Rachel
was,would,was disappointed with the weather,would have salad and boiled eggs for lunch,The author,she,Alexander,Johnathan
was,would,was on a diet,would wear glasses in the day time,The farmer,he,Victoria,Ethan
would,did,would stay out late on the weekends,walked toward the stray dog,The producer,he,Morgan,Makayla
would,did,would wake up early on Christmas Eve,got an autograph from a famous book writer,The runner,he,Derek,Charles
would,did,would go skiing in the winters,forgot to do the laundry,The carpenter,she,Payton,Jeremiah
would,did,would have oatmeal for breakfast,suggested a good cleaning company to Ashley,The actress,she,Mikayla,Samuel
would,did,would wake up early on Christmas Eve,won the annual cake-baking contest,The solider,he,Andres,Erin
would,did,would go out for a picnic on Sundays,used to work as part-time server,The lawyer,she,Abigail,Brittany
would,did,would call the landlord every night,had a good sleep,The waitress,she,Martin,Kevin
would,did,would stay out late on the weekends,felt so sleepy all day,The bartender,he,Sofia,Isaiah
would,did,would drive to the nearest library when the weather is bad,suggested a good cleaning company to Ashley,The painter,he,Kaylee,Alec
would,did,would make pasta for dinner,won the annual cake-baking contest,The nutritionist,she,Nicole,Samantha
would,does,would have salad and boiled eggs for lunch,rides a bike to the nearest park,The librarian,he,Ashlyn,Lucas
would,does,would make pasta for dinner,has two Bengal cats,The producer,he,Caleb,Marissa
would,does,would complain about everything,frequently gives extreme opinions without backing them up,The lawyer,she,Cassandra,Ryan
would,does,would buy lottery tickets on the weekends,has lots of interest in French cuisine,The architect,he,Miguel,Christopher
would,does,would wear a yellow hat on sunny days,enjoys hiking,The musician,he,Joel,Phillip
would,does,would wake up early on Christmas Eve,owns a lot of jewelry,The dancer,he,Makenzie,Caroline
would,does,would stay out late on the weekends,finds humor in the worst situations,The banker,she,Jared,Morgan
would,does,would go hiking during the summer months,drinks two bottles of wine every day,The farmer,he,Kendra,Angel
would,does,would drive to the nearest library when the weather is bad,never forgets to greet people with with a big smile,The motorcyclist,he,Alyssa,Landon
would,does,would make pasta for dinner,enjoys hiking,The tenant,she,Kaylee,Crystal
would,has,would go skiing in the winters,has been a long time fan of Ariana Grande,The painter,he,Malik,Hope
would,has,would go to the park for a walk in the evenings,has been participating in marathons since last year,The gardener,he,Karen,Sergio
would,has,would swim in the Lake on Monday mornings,has been a long time fan of Ariana Grande,The swimmer,she,Cameron,Natalie
would,has,would bake banana bread at night,has undergone chemotherapy,The colleague,she,Vincent,Stephanie
would,has,would go skiing in the winters,has been a fan of Rihanna since her debut,The contactor,he,Gabriella,Nicolas
would,has,would wake up early on Christmas Eve,has been keeping a diary for 15 years,The analyst,he,Ashlyn,Britney
would,has,would go out for a picnic on Sundays,has been dreaming of buying a private jet,The Marine,he,Jonathan,Wyatt
would,has,would have salad and boiled eggs for lunch,has been a fan of Rihanna since her debut,The lecturer,she,Nicholas,Hayley
would,has,would wear a yellow hat on sunny days,has been earning money by making YouTube videos,The philosopher,she,Patrick,Abigail
would,has,would read books at a park nearby,has been neighbors with the mayor,The tenant,she,Wyatt,Margaret
would,is,would have salad and boiled eggs for lunch,is an avid foodie,The reporter,she,Monica,William
would,is,would sleep on the couch,is planning a honeymoon,The author,she,Abigail,Veronica
would,is,would read books at a park nearby,is always trustworthy,The administrator,he,Michaela,Dominic
would,is,would buy lottery tickets on the weekends,is lying on the red futon,The director,she,Devon,Isabel
would,is,would go out for a picnic on Sundays,is discreet and good at thinking fast,The athlete,he,Mya,Miranda
would,is,would go skiing in the winters,is only in it for the money,The player,she,Miguel,Erika
would,is,would go to the movies every week,is a cordial person,The patient,she,Ricardo,Jasmin
would,is,would wake up early on Christmas Eve,is wearing a wedding ring,The dealer,she,Bryan,Alejandra
would,is,would go to the park for a walk in the evenings,is vegan,The architect,he,Breanna,Gage
would,is,would go to the movies every week,is never late,The administrator,he,Matthew,Natalie
would,was,would go out for a picnic on Sundays,was born in Ecuador,The professor,she,Ashley,Holly
would,was,would wake up early on Christmas Eve,was born in Ecuador,The diver,she,Kevin,Johnathan
would,was,would wear a yellow hat on sunny days,was surprised about the exciting news,The director,she,Kelsey,Alicia
would,was,would bake banana bread at night,was happy about the cross-country road trip,The receptionist,he,Nathaniel,Emma
would,was,would go to the park for a walk in the evenings,was born in Ecuador,The cheerleader,she,Peter,Kennedy
would,was,would sleep on the couch,was singing a song,The waitress,she,Amaya,Isaac
would,was,would go to the park for a walk in the evenings,was singing a song,The rapper,he,Megan,Kaleb
would,was,would eat bananas at night,was disappointed with the weather,The solider,he,Christopher,Esmeralda
would,was,would have salad and boiled eggs for lunch,was nervous about the stressful situation,The author,she,Eduardo,Emma
would,was,would swim in the Lake on Monday mornings,was being chased by a few people,The writer,he,Thomas,Chase
